trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Parte de Mí,2022-07-12 21:24,Nicki Nicole,525195,3qW3oIG7ZYzs3Ru5988fP5,175065,53,0.549,-8.922,0.366,0.108
París,2022-06-02 17:36,Morat,6229252,3ehHqgYRzmeUi345MfHS2N,182187,72,0.582,-4.155,0.804,0.0624
"Paulo Londra: Bzrp Music Sessions, Vol. 23",2022-06-02 23:06,Bizarrap,2737342,2uky0VCI2EZni0nArOPznM,258540,7,0.456,-2.659,0.91,0.0921
Perdí la Cuenta,2022-10-17 20:22,Benjamín Amadeo,212040,6yLX8OirlLMy7KmEm8xEdh,212040,29,0.68,-5.135,0.798,0.0554
Perdóname,2022-08-27 03:42,La Factoria,68057,3qGMeW3gOS3yeJF2nIUy1K,162586,47,0.685,-8.269,0.419,0.145
Perfect,2022-11-04 16:51,Ed Sheeran,263400,0tgVpDi06FyKpA1z0VMD4v,263400,91,0.599,-6.312,0.448,0.106
Photograph,2023-04-01 12:00,Ed Sheeran,258986,01CT2r5NLfYvtJHBFWfsXB,201432,40,0.641,-9.87,0.512,0.109
Piel,2022-10-01 21:10,Zeballos,2346,4vrN0RUZKFUGRynUoqbv4u,209463,60,0.626,-5.054,0.625,0.0778
Piel de Cordero,2022-11-30 14:16,Quevedo,105784,04d4GpLedinwpfctvgOIhY,213647,71,0.827,-10.743,0.541,0.0948
Pininfarina - Remix,2022-11-27 20:34,Rei,260787,1mVLbFwad1wce7mAhFw2Ih,260787,66,0.748,-6.239,0.767,0.108
Plan A,2022-06-02 17:46,Paulo Londra,1224331,2gpQi3hbcUAcEG8m2dlgfB,178202,71,0.583,-4.875,0.834,0.0658
Propuesta Indecente,2023-05-01 01:23,Romeo Santos,9915,5PycBIeabfvX3n9ILG7Vrv,235133,81,0.757,-6.83,0.632,0.0723
Protocolo,2022-06-06 16:43,WOS,1750786,1IJcROM3wuO4phCdjlEl5t,254208,52,0.549,-14.099,0.445,0.087
Q.E.P.D,2023-04-04 04:21,Wolty,106427,0VaGR19qdoi0tf2EbTY3yN,211428,0,0.819,-12.608,0.421,0.0862
QUEREME,2022-06-17 15:01,LOUTA,20285088,0bhWW1Bve1Ng6kEm8WjiQA,194840,69,0.795,-6.966,0.625,0.128
"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-07 23:48,Bizarrap,11501617,2tTmW7RDtMQtBk7m2rYeSw,198937,93,0.621,-5.548,0.782,0.23
Radar,2022-07-09 15:09,Paz Carrara,665795,2ZrnMV7mUPqU2qPgFyEa23,162288,30,0.736,-12.241,0.337,0.149
Rain,2023-01-09 19:37,Trueno,365926,5HtNlKUcPHwAHP6Qg7rGh0,182831,0,0.546,-7.848,0.686,0.649
ReggaetOLD,2022-08-27 03:47,Kevo DJ,331752,4fL2qFM2lw6xz9XmziEW7I,203207,48,0.71,-4.315,0.662,0.0966
René,2022-10-17 19:50,Residente,165111,6gm12xlADJwiBbHIKBXzGW,457591,67,0.486,-9.326,0.388,0.196
"Residente: Bzrp Music Sessions, Vol. 49",2022-10-15 17:15,Bizarrap,1066619,2dG9k8jtnkjzJjUToz9i9i,519289,68,0.586,-2.997,0.74,0.11
Respuesta Cero,2022-09-24 02:05,Quevedo,834061,07piZvs54drv7466oPLTt0,203951,65,0.625,-7.079,0.523,0.106
Rewrite The Stars,2022-06-19 06:41,Zac Efron,219082,65fpYBrI8o2cfrwf2US4gq,217440,75,0.684,-7.005,0.619,0.122
Rockstar,2022-09-19 18:02,Duki,128795,3RlsVPIIs5KFhLFhxZ4iDF,252040,72,0.616,-3.004,0.91,0.343
SIN SEÑAL,2022-08-07 04:42,Quevedo,19307220,1Y62KpDaP5MEL43ZcI6IaG,185084,75,0.822,-3.314,0.851,0.105
SOLO POR VOS,2022-07-01 22:13,Trueno,2170895,5Ejw3lC6Srj8VK4fHgTZAi,199825,61,0.697,-8.149,0.525,0.103
STAY (with Justin Bieber),2022-11-04 17:50,The Kid LAROI,305970,5HCyWlXZPP0y6Gqq8TgA20,141805,87,0.591,-5.484,0.764,0.103
Salimo de Noche,2022-06-04 20:15,Tiago PZK,1609117,6P096SaOzrgGxs8NWOfX7M,177857,69,0.669,-4.177,0.628,0.124
"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-12 00:28,Bizarrap,6913441,4nrPB8O7Y7wsOCJdgXkthe,214945,94,0.778,-5.6,0.632,0.0915
Shaky Shaky,2023-05-21 07:19,Daddy Yankee,56308,58IL315gMSTD37DOZPJ2hf,234320,0,0.899,-4.228,0.626,0.0631
Shape of You,2022-11-01 21:38,Ed Sheeran,9514,7qiZfU4dY1lWllzX7mPBI3,233712,89,0.825,-3.183,0.652,0.0931
She Don't Give a Fo,2022-10-13 16:45,Duki,838409,03a359wbiUsjN9h6yzXvmS,209531,79,0.854,-4.49,0.556,0.165
Si Quieren Frontear,2022-06-02 15:30,Duki,3182542,6bQ5823aHmFVKLZW8E7rRo,200337,70,0.789,-3.247,0.837,0.209
Sirenas,2022-11-05 15:20,Taburete,88203,4unOsvr9C2NqI9aJXrxpCy,184250,2,0.686,-6.249,0.574,0.109
Sola - Neuen Live Sessions - En Vivo,2022-06-04 20:06,Tiago PZK,196600,4P1T0qUkqIVuByWA8i1SQV,196600,57,0.445,-7.433,0.608,0.101
Soltera - Remix,2022-10-17 21:18,Lunay,4852,1c0hsvHLELX6y8qymnpLKL,266086,73,0.795,-4.271,0.783,0.437
Soltero Hasta la Tumba,2022-11-06 03:51,El Reja,229901,6JtV50W4szsOD04QREQgXk,193813,55,0.804,-7.437,0.686,0.142
Somebody To Love - Remastered 2011,2023-04-01 13:17,Queen,296480,3vCHmbyOgc6pgwLUWfU4pF,296480,0,0.461,-6.958,0.69,0.113
Someone You Loved,2022-06-11 04:02,Lewis Capaldi,572408,5aQDkvNNDDfwD2XHtW9xjq,148219,58,0.631,-6.125,0.355,0.124
Stay,2022-08-07 08:56,Rihanna,984849,0Ohi2pjBS1yak2BSgJRaIs,261906,58,0.583,-4.836,0.698,0.118
Stitches,2022-08-28 09:20,Shawn Mendes,127095,2I8Z8AjStXpjXowdnrwePA,162000,50,0.612,-10.788,0.244,0.102
Story of My Life,2022-08-07 08:37,One Direction,980204,4nVBt6MZDDP6tRVdQTgxJg,245493,85,0.6,-5.802,0.663,0.119
Sweet Creature,2022-10-17 21:45,Harry Styles,1439,5kRPPEWFJIMox5qIkQkiz5,224866,77,0.427,-8.541,0.262,0.068
